success,family,n_qubits,n_t_gates,n_total_gates,ofd_success,ofd_fail,ofd_rate,final_chi,final_nu,final_S2,runtime,seed,extra_metadata,graph_type,code_distance,ansatz,n_layers,density,avg_clifford_depth,max_clifford_depth,min_clifford_depth,std_clifford_depth,avg_light_cone_width,max_light_cone_width,spatial_uniformity,depth_variance,n_gates
true,Random Clifford+T (Brick-wall),16,24,384,16,8,0.6666666667,256,16,4.204931777,2179.048159,2922442592,"Dict{String, Any}()",,,,,,15.0,15.0,15.0,0.0,3.7916666666666665,4.0,0.11808289631180313,75.46666666666667,384.0
true,Random Clifford+T (Brick-wall),16,24,384,16,8,0.6666666667,256,16,4.214664148,1992.448404,1092841608,"Dict{String, Any}()",,,,,,15.0,15.0,15.0,0.0,3.5416666666666665,4.0,0.18350341907227408,62.4,384.0
true,Random Clifford+T (Brick-wall),16,24,384,16,8,0.6666666667,256,16,4.069319821,2276.722342,2421594872,"Dict{String, Any}()",,,,,,15.0,15.0,15.0,0.0,3.75,4.0,0.11808289631180313,75.46666666666667,384.0
true,Random Clifford+T (Brick-wall),16,24,384,16,8,0.6666666667,256,16,4.157232742,1381.676038,71973671,"Dict{String, Any}()",,,,,,15.0,15.0,15.0,0.0,3.5,4.0,0.02817468419244984,59.86666666666667,384.0
true,Random Clifford+T (Brick-wall),16,24,384,16,8,0.6666666667,256,16,4.15759742,1732.48015,223636244,"Dict{String, Any}()",,,,,,15.0,15.0,15.0,0.0,3.6666666666666665,4.0,0.4729537233052701,71.06666666666666,384.0
true,Random Clifford+T (Brick-wall),16,24,384,16,8,0.6666666667,256,16,4.101565557,2370.348967,3004551744,"Dict{String, Any}()",,,,,,15.0,15.0,15.0,0.0,3.5,4.0,0.18350341907227408,65.6,384.0
true,Random Clifford+T (Brick-wall),16,24,384,16,8,0.6666666667,256,16,4.239800729,2364.766431,3059282329,"Dict{String, Any}()",,,,,,15.0,15.0,15.0,0.0,3.625,4.0,0.15016341440120262,72.13333333333334,384.0
true,Random Clifford+T (All-to-all),8,4,68,3,1,0.75,2,3,0.0,0.02324318886,36831665,"Dict{String, Any}()",,,,,,16.0,16.0,16.0,0.0,4.25,7.0,0.0,37.714285714285715,68.0
true,Random Clifford+T (All-to-all),8,4,68,4,0,1.0,1,4,0.0,0.01403880119,4215665072,"Dict{String, Any}()",,,,,,16.0,16.0,16.0,0.0,5.75,8.0,0.0,14.571428571428571,68.0
true,Random Clifford+T (All-to-all),8,4,68,3,1,0.75,2,3,0.0,0.07975101471,2652099811,"Dict{String, Any}()",,,,,,16.0,16.0,16.0,0.0,5.75,8.0,0.0,5.714285714285714,68.0
