n_qubits,seed,t_index,control_j,rotation_k,cumulative_t,cumulative_rank,rank_delta
16,1888127998,306,1,14,306,1,0
16,1888127998,307,1,14,307,1,0
16,1888127998,308,1,14,308,1,0
16,1888127998,309,1,14,309,1,0
16,1888127998,310,1,14,310,1,0
16,1888127998,311,1,14,311,1,0
16,1888127998,312,1,14,312,1,0
16,1888127998,313,1,15,313,1,0
16,1888127998,314,1,15,314,1,0
16,1888127998,315,1,15,315,1,0
16,1888127998,316,1,15,316,1,0
16,1888127998,317,1,15,317,1,0
16,1888127998,318,1,15,318,1,0
16,1888127998,319,1,15,319,1,0
16,1888127998,320,1,15,320,1,0
16,1888127998,321,1,15,321,1,0
16,1888127998,322,1,15,322,1,0
16,1888127998,323,1,15,323,1,0
16,1888127998,324,1,15,324,1,0
16,1888127998,325,1,15,325,1,0
16,1888127998,326,1,15,326,1,0
16,1888127998,327,1,15,327,1,0
16,1888127998,328,1,15,328,1,0
16,1888127998,329,1,15,329,1,0
16,1888127998,330,1,15,330,1,0
16,1888127998,331,1,15,331,1,0
16,1888127998,332,1,15,332,1,0
16,1888127998,333,1,15,333,1,0
16,1888127998,334,1,15,334,1,0
16,1888127998,335,1,15,335,1,0
16,1888127998,336,1,15,336,1,0
16,1888127998,337,1,15,337,1,0
16,1888127998,338,1,15,338,1,0
16,1888127998,339,1,15,339,1,0
16,1888127998,340,1,15,340,1,0
16,1888127998,341,1,15,341,1,0
16,1888127998,342,1,15,342,1,0
16,1888127998,343,1,15,343,1,0
16,1888127998,344,1,15,344,1,0
16,1888127998,345,1,15,345,1,0
16,1888127998,346,1,15,346,1,0
16,1888127998,347,1,15,347,1,0
16,1888127998,348,1,15,348,1,0
16,1888127998,349,1,15,349,1,0
16,1888127998,350,1,15,350,1,0
16,1888127998,351,1,15,351,1,0
16,1888127998,352,1,15,352,1,0
16,1888127998,353,1,15,353,1,0
16,1888127998,354,1,15,354,1,0
16,1888127998,355,1,15,355,1,0
16,1888127998,356,1,15,356,1,0
16,1888127998,357,1,15,357,1,0
16,1888127998,358,1,15,358,1,0
16,1888127998,359,1,15,359,1,0
16,1888127998,360,1,15,360,1,0
16,1888127998,361,1,15,361,1,0
16,1888127998,362,1,15,362,1,0
16,1888127998,363,1,15,363,1,0
16,1888127998,364,1,15,364,1,0
16,1888127998,365,1,16,365,1,0
16,1888127998,366,1,16,366,1,0
16,1888127998,367,1,16,367,1,0
16,1888127998,368,1,16,368,1,0
16,1888127998,369,1,16,369,1,0
16,1888127998,370,1,16,370,1,0
16,1888127998,371,1,16,371,1,0
16,1888127998,372,1,16,372,1,0
16,1888127998,373,1,16,373,1,0
16,1888127998,374,1,16,374,1,0
16,1888127998,375,1,16,375,1,0
16,1888127998,376,1,16,376,1,0
16,1888127998,377,1,16,377,1,0
16,1888127998,378,1,16,378,1,0
16,1888127998,379,1,16,379,1,0
16,1888127998,380,1,16,380,1,0
16,1888127998,381,1,16,381,1,0
16,1888127998,382,1,16,382,1,0
16,1888127998,383,1,16,383,1,0
16,1888127998,384,1,16,384,1,0
16,1888127998,385,1,16,385,1,0
16,1888127998,386,1,16,386,1,0
16,1888127998,387,1,16,387,1,0
16,1888127998,388,1,16,388,1,0
16,1888127998,389,1,16,389,1,0
16,1888127998,390,1,16,390,1,0
16,1888127998,391,1,16,391,1,0
16,1888127998,392,1,16,392,1,0
16,1888127998,393,1,16,393,1,0
16,1888127998,394,1,16,394,1,0
16,1888127998,395,1,16,395,1,0
16,1888127998,396,1,16,396,1,0
16,1888127998,397,1,16,397,1,0
16,1888127998,398,1,16,398,1,0
16,1888127998,399,1,16,399,1,0
16,1888127998,400,1,16,400,1,0
16,1888127998,401,1,16,401,1,0
16,1888127998,402,1,16,402,1,0
16,1888127998,403,1,16,403,1,0
16,1888127998,404,1,16,404,1,0
16,1888127998,405,1,16,405,1,0
16,1888127998,406,1,16,406,1,0
16,1888127998,407,1,16,407,1,0
16,1888127998,408,1,16,408,1,0
16,1888127998,409,1,16,409,1,0
16,1888127998,410,1,16,410,1,0
16,1888127998,411,1,16,411,1,0
16,1888127998,412,1,16,412,1,0
16,1888127998,413,1,16,413,1,0
16,1888127998,414,1,16,414,1,0
16,1888127998,415,1,16,415,1,0
16,1888127998,416,1,16,416,1,0
16,1888127998,417,1,16,417,1,0
16,1888127998,418,1,16,418,1,0
16,1888127998,419,1,16,419,1,0
16,1888127998,420,1,16,420,1,0
16,1888127998,421,2,3,421,2,1
16,1888127998,422,2,3,422,2,0
16,1888127998,423,2,3,423,2,0
16,1888127998,424,2,3,424,2,0
16,1888127998,425,2,4,425,2,0
16,1888127998,426,2,4,426,2,0
16,1888127998,427,2,4,427,2,0
16,1888127998,428,2,4,428,2,0
16,1888127998,429,2,4,429,2,0
16,1888127998,430,2,4,430,2,0
16,1888127998,431,2,4,431,2,0
16,1888127998,432,2,4,432,2,0
16,1888127998,433,2,5,433,2,0
16,1888127998,434,2,5,434,2,0
16,1888127998,435,2,5,435,2,0
16,1888127998,436,2,5,436,2,0
16,1888127998,437,2,5,437,2,0
16,1888127998,438,2,5,438,2,0
16,1888127998,439,2,5,439,2,0
16,1888127998,440,2,5,440,2,0
16,1888127998,441,2,5,441,2,0
16,1888127998,442,2,5,442,2,0
16,1888127998,443,2,5,443,2,0
16,1888127998,444,2,5,444,2,0
16,1888127998,445,2,6,445,2,0
16,1888127998,446,2,6,446,2,0
16,1888127998,447,2,6,447,2,0
16,1888127998,448,2,6,448,2,0
16,1888127998,449,2,6,449,2,0
16,1888127998,450,2,6,450,2,0
16,1888127998,451,2,6,451,2,0
16,1888127998,452,2,6,452,2,0
16,1888127998,453,2,6,453,2,0
16,1888127998,454,2,6,454,2,0
16,1888127998,455,2,6,455,2,0
16,1888127998,456,2,6,456,2,0
16,1888127998,457,2,6,457,2,0
16,1888127998,458,2,6,458,2,0
16,1888127998,459,2,6,459,2,0
16,1888127998,460,2,6,460,2,0
16,1888127998,461,2,7,461,2,0
16,1888127998,462,2,7,462,2,0
16,1888127998,463,2,7,463,2,0
16,1888127998,464,2,7,464,2,0
16,1888127998,465,2,7,465,2,0
16,1888127998,466,2,7,466,2,0
16,1888127998,467,2,7,467,2,0
16,1888127998,468,2,7,468,2,0
16,1888127998,469,2,7,469,2,0
16,1888127998,470,2,7,470,2,0
16,1888127998,471,2,7,471,2,0
16,1888127998,472,2,7,472,2,0
16,1888127998,473,2,7,473,2,0
16,1888127998,474,2,7,474,2,0
16,1888127998,475,2,7,475,2,0
16,1888127998,476,2,7,476,2,0
16,1888127998,477,2,7,477,2,0
16,1888127998,478,2,7,478,2,0
16,1888127998,479,2,7,479,2,0
16,1888127998,480,2,7,480,2,0
16,1888127998,481,2,8,481,2,0
16,1888127998,482,2,8,482,2,0
16,1888127998,483,2,8,483,2,0
16,1888127998,484,2,8,484,2,0
16,1888127998,485,2,8,485,2,0
16,1888127998,486,2,8,486,2,0
16,1888127998,487,2,8,487,2,0
16,1888127998,488,2,8,488,2,0
16,1888127998,489,2,8,489,2,0
16,1888127998,490,2,8,490,2,0
16,1888127998,491,2,8,491,2,0
16,1888127998,492,2,8,492,2,0
16,1888127998,493,2,8,493,2,0
16,1888127998,494,2,8,494,2,0
16,1888127998,495,2,8,495,2,0
16,1888127998,496,2,8,496,2,0
16,1888127998,497,2,8,497,2,0
16,1888127998,498,2,8,498,2,0
16,1888127998,499,2,8,499,2,0
16,1888127998,500,2,8,500,2,0
16,1888127998,501,2,8,501,2,0
16,1888127998,502,2,8,502,2,0
16,1888127998,503,2,8,503,2,0
