family,n_qubits,seed,n_t_gates,n_ofd_success,n_ofd_fail,ofd_rate,n_pure_z,pure_z_rate,n_gf2_independent,gf2_independence_rate,first_fail_position,mean_pauli_weight
"QAOA MaxCut (p=1, 3-regular)",64,3140073457,64,0,64,0.000000,64,1.000000,0,0.000000,0.000000,1.00
"Surface Code",5,2638157968,4,2,2,0.500000,0,0.000000,2,0.500000,0.666667,1.00
"Surface Code",5,1849151557,4,2,2,0.500000,0,0.000000,2,0.500000,0.666667,1.00
"Surface Code",5,3125997193,4,2,2,0.500000,0,0.000000,2,0.500000,0.666667,1.00
"Surface Code",8,1748837960,8,3,5,0.375000,0,0.000000,3,0.375000,0.285714,1.00
"Surface Code",8,159968612,8,1,7,0.125000,4,0.500000,1,0.125000,0.000000,1.50
"Surface Code",8,3848827287,8,2,6,0.250000,4,0.500000,2,0.250000,0.000000,1.50
"Surface Code",13,2155254448,16,5,11,0.312500,0,0.000000,5,0.312500,0.200000,1.00
"Surface Code",13,488220838,16,6,10,0.375000,0,0.000000,6,0.375000,0.266667,1.00
"Surface Code",13,3528668590,16,6,10,0.375000,0,0.000000,6,0.375000,0.266667,1.00
"Surface Code",25,4137901022,32,12,20,0.375000,0,0.000000,12,0.375000,0.096774,1.00
"Surface Code",25,2469114872,32,12,20,0.375000,0,0.000000,12,0.375000,0.258065,1.00
"Surface Code",25,2930524731,32,11,21,0.343750,0,0.000000,11,0.343750,0.225806,1.00
