success,family,n_qubits,seed,n_t_gates,gf2_rank,nullity,nullity_ratio,n_amenable,n_not_amenable,amenability_rate,default_chi,default_ofd_rate,default_time,guided_chi,guided_ofd_rate,guided_time,n_ofd_skipped,chi_match,chi_ratio,time_savings,predicted_chi
true,"Deutsch-Jozsa",4,4239873489,4,1,3,0.750000,1,3,0.250000,1,1.000000,0.0010,1,0.250000,0.0009,3,true,1.000000,0.060912,8
true,"Deutsch-Jozsa",5,4076314461,0,0,0,,0,0,,1,,0.0000,1,,0.0000,0,true,1.000000,0.200000,1
true,"Deutsch-Jozsa",5,3374596475,0,0,0,,0,0,,1,,0.0000,1,,0.0000,0,true,1.000000,0.000000,1
true,"Deutsch-Jozsa",5,1312349343,0,0,0,,0,0,,1,,0.0000,1,,0.0000,0,true,1.000000,-1.000000,1
true,"Deutsch-Jozsa",5,2232292660,0,0,0,,0,0,,1,,0.0000,1,,0.0000,0,true,1.000000,0.200000,1
true,"Deutsch-Jozsa",6,1955717801,6,4,2,0.333333,4,2,0.666667,2,1.000000,0.0017,2,0.666667,0.0010,2,true,1.000000,0.367262,4
true,"Deutsch-Jozsa",6,2359115982,0,0,0,,0,0,,1,,0.0000,1,,0.0000,0,true,1.000000,-0.250000,1
true,"Deutsch-Jozsa",6,1457114710,6,3,3,0.500000,3,3,0.500000,1,1.000000,0.0015,1,0.500000,0.0014,3,true,1.000000,0.041754,8
true,"Deutsch-Jozsa",6,3664291591,0,0,0,,0,0,,1,,0.0000,1,,0.0000,0,true,1.000000,-1.000000,1
true,"Deutsch-Jozsa",7,4278137761,7,5,2,0.285714,5,2,0.714286,2,1.000000,0.0021,2,0.714286,0.0017,2,true,1.000000,0.184842,4
true,"Deutsch-Jozsa",7,2877028639,7,4,3,0.428571,4,3,0.571429,2,1.000000,0.0074,2,0.571429,0.0021,3,true,1.000000,0.712062,8
true,"Deutsch-Jozsa",7,1838562737,7,2,5,0.714286,2,5,0.285714,1,1.000000,0.0033,1,0.285714,0.0029,5,true,1.000000,0.130332,32
true,"Deutsch-Jozsa",7,471366852,7,4,3,0.428571,4,3,0.571429,2,1.000000,0.0019,2,0.571429,0.0058,3,true,1.000000,-2.050790,8
true,"Deutsch-Jozsa",8,3883384391,0,0,0,,0,0,,1,,0.0000,1,,0.0000,0,true,1.000000,0.555556,1
true,"Deutsch-Jozsa",8,581825281,8,4,4,0.500000,4,4,0.500000,1,1.000000,0.0049,1,0.500000,0.0066,4,true,1.000000,-0.349501,16
true,"Deutsch-Jozsa",8,1079996204,8,4,4,0.500000,4,4,0.500000,1,1.000000,0.0028,1,0.500000,0.0028,4,true,1.000000,0.017762,16
true,"Deutsch-Jozsa",8,3704335677,0,0,0,,0,0,,1,,0.0000,1,,0.0000,0,true,1.000000,0.000000,1
true,"GHZ State",4,3206281179,4,1,3,0.750000,1,3,0.250000,1,1.000000,0.0076,1,0.250000,0.0010,3,true,1.000000,0.874103,8
true,"GHZ State",4,125931391,4,1,3,0.750000,1,3,0.250000,1,1.000000,0.0009,1,0.250000,0.0009,3,true,1.000000,0.051084,8
true,"GHZ State",4,3604240194,4,1,3,0.750000,1,3,0.250000,1,1.000000,0.0009,1,0.250000,0.0009,3,true,1.000000,0.060171,8
true,"GHZ State",4,368573798,4,1,3,0.750000,1,3,0.250000,1,1.000000,0.0009,1,0.250000,0.0009,3,true,1.000000,0.066234,8
true,"GHZ State",5,3886384794,5,1,4,0.800000,1,4,0.200000,1,1.000000,0.0016,1,0.200000,0.0015,4,true,1.000000,0.037379,16
true,"GHZ State",5,1733313001,5,1,4,0.800000,1,4,0.200000,1,1.000000,0.0032,1,0.200000,0.0015,4,true,1.000000,0.528072,16
true,"GHZ State",5,3461090752,5,1,4,0.800000,1,4,0.200000,1,1.000000,0.0015,1,0.200000,0.0015,4,true,1.000000,0.038871,16
true,"GHZ State",5,990480058,5,1,4,0.800000,1,4,0.200000,1,1.000000,0.0020,1,0.200000,0.0016,4,true,1.000000,0.191941,16
true,"GHZ State",6,3673149371,6,1,5,0.833333,1,5,0.166667,1,1.000000,0.0036,1,0.166667,0.0023,5,true,1.000000,0.363082,32
true,"GHZ State",6,2831812310,6,1,5,0.833333,1,5,0.166667,1,1.000000,0.0026,1,0.166667,0.0045,5,true,1.000000,-0.709952,32
true,"GHZ State",6,3403884227,6,1,5,0.833333,1,5,0.166667,1,1.000000,0.0023,1,0.166667,0.0022,5,true,1.000000,0.034600,32
true,"GHZ State",6,4204223757,6,1,5,0.833333,1,5,0.166667,1,1.000000,0.0029,1,0.166667,0.0084,5,true,1.000000,-1.872963,32
true,"GHZ State",7,115303513,7,1,6,0.857143,1,6,0.142857,1,1.000000,0.0041,1,0.142857,0.0036,6,true,1.000000,0.126389,64
true,"GHZ State",7,3972081125,7,1,6,0.857143,1,6,0.142857,1,1.000000,0.0071,1,0.142857,0.0040,6,true,1.000000,0.432197,64
true,"GHZ State",7,1740712786,7,1,6,0.857143,1,6,0.142857,1,1.000000,0.0059,1,0.142857,0.0041,6,true,1.000000,0.294220,64
true,"GHZ State",7,2512734538,7,1,6,0.857143,1,6,0.142857,1,1.000000,0.0038,1,0.142857,0.0080,6,true,1.000000,-1.096981,64
true,"GHZ State",8,606455737,8,1,7,0.875000,1,7,0.125000,1,1.000000,0.0047,1,0.125000,0.0065,7,true,1.000000,-0.384881,128
true,"GHZ State",8,640434981,8,1,7,0.875000,1,7,0.125000,1,1.000000,0.0044,1,0.125000,0.0075,7,true,1.000000,-0.696492,128
true,"GHZ State",8,3256978310,8,1,7,0.875000,1,7,0.125000,1,1.000000,0.0043,1,0.125000,0.0062,7,true,1.000000,-0.433770,128
true,"GHZ State",8,1085703896,8,1,7,0.875000,1,7,0.125000,1,1.000000,0.0046,1,0.125000,0.0071,7,true,1.000000,-0.539728,128
true,"Bell State / EPR Pairs",4,2987116186,4,2,2,0.500000,2,2,0.500000,2,1.000000,0.0008,2,0.500000,0.0007,2,true,1.000000,0.064141,4
true,"Bell State / EPR Pairs",4,3924289913,4,2,2,0.500000,2,2,0.500000,1,1.000000,0.0007,1,0.500000,0.0007,2,true,1.000000,0.002785,4
true,"Bell State / EPR Pairs",4,3297115006,4,1,3,0.750000,1,3,0.250000,2,1.000000,0.0010,2,0.250000,0.0013,3,true,1.000000,-0.322501,8
true,"Bell State / EPR Pairs",4,1068627124,4,2,2,0.500000,2,2,0.500000,1,1.000000,0.0006,1,0.500000,0.0007,2,true,1.000000,-0.139752,4
true,"Bell State / EPR Pairs",5,3648758955,5,3,2,0.400000,3,2,0.600000,2,1.000000,0.0022,2,0.600000,0.0008,2,true,1.000000,0.617418,4
true,"Bell State / EPR Pairs",5,4194347955,5,2,3,0.600000,2,3,0.400000,2,1.000000,0.0012,2,0.400000,0.0011,3,true,1.000000,0.042809,8
true,"Bell State / EPR Pairs",5,1976041438,5,3,2,0.400000,3,2,0.600000,2,1.000000,0.0008,2,0.600000,0.0009,2,true,1.000000,-0.155783,4
true,"Bell State / EPR Pairs",5,843145804,5,2,3,0.600000,2,3,0.400000,1,1.000000,0.0013,1,0.400000,0.0018,3,true,1.000000,-0.432647,8
true,"Bell State / EPR Pairs",6,3101131220,6,3,3,0.500000,3,3,0.500000,1,1.000000,0.0015,1,0.500000,0.0028,3,true,1.000000,-0.917005,8
true,"Bell State / EPR Pairs",6,1623678347,6,3,3,0.500000,3,3,0.500000,2,1.000000,0.0014,2,0.500000,0.0020,3,true,1.000000,-0.408399,8
