success,family,n_qubits,seed,n_t_gates,n_total_gates,gf2_rank,nullity,nullity_ratio,rank_ratio,rank_to_t_ratio,t_density,xbit_density,n_disentanglable,n_not_disentanglable
True,Surface Code,8,2955934847,7,131,3,4,0.571429,0.375,0.428571,0.875,0.089286,3,4
True,Surface Code,8,1052670457,7,109,2,5,0.714286,0.25,0.285714,0.875,0.071429,2,5
True,Surface Code,8,2984701982,7,153,2,5,0.714286,0.25,0.285714,0.875,0.089286,2,5
True,Surface Code,8,2856719984,7,109,3,4,0.571429,0.375,0.428571,0.875,0.089286,3,4
True,Surface Code,8,882565125,8,132,3,5,0.625,0.375,0.375,1.0,0.125,3,5
True,Surface Code,8,1475284701,8,132,3,5,0.625,0.375,0.375,1.0,0.09375,3,5
True,Surface Code,8,1454889244,8,110,2,6,0.75,0.25,0.25,1.0,0.046875,2,6
True,Surface Code,8,1370422995,8,154,3,5,0.625,0.375,0.375,1.0,0.09375,3,5
True,Surface Code,13,2861867624,10,240,4,6,0.6,0.307692,0.4,0.7692,0.076923,4,6
True,Surface Code,13,1588530912,10,240,6,4,0.4,0.461538,0.6,0.7692,0.076923,6,4
True,Surface Code,13,1599338714,10,280,6,4,0.4,0.461538,0.6,0.7692,0.076923,6,4
True,Surface Code,13,1844178517,10,200,5,5,0.5,0.384615,0.5,0.7692,0.076923,5,5
True,Surface Code,13,924845904,12,202,4,8,0.666667,0.307692,0.333333,0.9231,0.076923,4,8
True,Surface Code,13,209837417,12,202,5,7,0.583333,0.384615,0.416667,0.9231,0.076923,5,7
True,Surface Code,13,1693805282,12,242,5,7,0.583333,0.384615,0.416667,0.9231,0.076923,5,7
True,Surface Code,13,4203518756,12,202,6,6,0.5,0.461538,0.5,0.9231,0.076923,6,6
True,Surface Code,13,3894163121,16,246,6,10,0.625,0.461538,0.375,1.2308,0.076923,6,10
True,Surface Code,13,298634728,16,286,6,10,0.625,0.461538,0.375,1.2308,0.076923,6,10
True,Surface Code,13,134142392,16,246,5,11,0.6875,0.384615,0.3125,1.2308,0.076923,5,11
True,Surface Code,13,2896033801,16,246,5,11,0.6875,0.384615,0.3125,1.2308,0.076923,5,11
True,Surface Code,18,791748115,24,299,8,16,0.666667,0.444444,0.333333,1.3333,0.053241,8,16
True,Surface Code,18,3066072720,24,299,7,17,0.708333,0.388889,0.291667,1.3333,0.048611,7,17
True,Surface Code,18,2037340560,24,299,7,17,0.708333,0.388889,0.291667,1.3333,0.053241,7,17
True,Surface Code,18,64081842,24,299,8,16,0.666667,0.444444,0.333333,1.3333,0.050926,8,16
True,Surface Code,25,4272378806,32,440,12,20,0.625,0.48,0.375,1.28,0.04,12,20
True,Surface Code,25,3658518304,32,524,12,20,0.625,0.48,0.375,1.28,0.04,12,20
True,Surface Code,25,3976497972,32,440,11,21,0.65625,0.44,0.34375,1.28,0.04,11,21
True,Surface Code,25,3104122268,32,608,12,20,0.625,0.48,0.375,1.28,0.04,12,20
True,VQE Hardware-Efficient Ansatz,96,912044819,9821,11686,96,9725,0.990225,1.0,0.009775,102.3021,0.114135,96,9725
True,VQE Hardware-Efficient Ansatz,96,1483179469,9791,11654,96,9695,0.990195,1.0,0.009805,101.9896,0.10315,96,9695
True,VQE Hardware-Efficient Ansatz,96,556444115,9855,11728,96,9759,0.990259,1.0,0.009741,102.6562,0.131646,96,9759
True,VQE Hardware-Efficient Ansatz,96,591081555,9868,11740,96,9772,0.990272,1.0,0.009728,102.7917,0.119226,96,9772
True,VQE Hardware-Efficient Ansatz,128,313132766,13112,15604,128,12984,0.990238,1.0,0.009762,102.4375,0.109865,128,12984
True,VQE Hardware-Efficient Ansatz,128,2532779784,13149,15646,128,13021,0.990265,1.0,0.009735,102.7266,0.120045,128,13021
True,VQE Hardware-Efficient Ansatz,128,1623007236,13141,15636,128,13013,0.990259,1.0,0.009741,102.6641,0.126889,128,13013
True,VQE Hardware-Efficient Ansatz,128,882372403,13116,15612,128,12988,0.990241,1.0,0.009759,102.4688,0.125206,128,12988
True,VQE Hardware-Efficient Ansatz,192,221209552,19744,23496,192,19552,0.990276,1.0,0.009724,102.8333,0.121971,192,19552
True,VQE Hardware-Efficient Ansatz,192,543078686,19729,23484,192,19537,0.990268,1.0,0.009732,102.7552,0.115451,192,19537
True,VQE Hardware-Efficient Ansatz,192,3692172836,19630,23360,192,19438,0.990219,1.0,0.009781,102.2396,0.111679,192,19438
True,VQE Hardware-Efficient Ansatz,192,4008810269,19620,23354,192,19428,0.990214,1.0,0.009786,102.1875,0.109991,192,19428
True,VQE Hardware-Efficient Ansatz,256,2541848063,26274,31266,256,26018,0.990257,1.0,0.009743,102.6328,0.114449,256,26018
True,VQE Hardware-Efficient Ansatz,256,362213905,26237,31220,256,25981,0.990243,1.0,0.009757,102.4883,0.116191,256,25981
True,VQE Hardware-Efficient Ansatz,256,1241432534,26250,31238,256,25994,0.990248,1.0,0.009752,102.5391,0.111998,256,25994
True,VQE Hardware-Efficient Ansatz,256,1396488618,26282,31278,256,26026,0.990259,1.0,0.009741,102.6641,0.115074,256,26026
True,Surface Code,32,4176756021,48,692,14,34,0.708333,0.4375,0.291667,1.5,0.028646,14,34
True,Surface Code,32,2454622100,48,802,15,33,0.6875,0.46875,0.3125,1.5,0.028646,15,33
True,Surface Code,32,3702994589,48,692,15,33,0.6875,0.46875,0.3125,1.5,0.030599,15,33
True,Surface Code,32,1630625282,48,582,15,33,0.6875,0.46875,0.3125,1.5,0.029948,15,33
True,Surface Code,41,158767687,64,924,19,45,0.703125,0.463415,0.296875,1.561,0.02439,19,45
True,Surface Code,41,944855271,64,924,19,45,0.703125,0.463415,0.296875,1.561,0.02439,19,45
True,Surface Code,41,4066314242,64,1068,20,44,0.6875,0.487805,0.3125,1.561,0.02439,20,44
True,Surface Code,41,2112217357,64,924,18,46,0.71875,0.439024,0.28125,1.561,0.02439,18,46
True,Surface Code,50,3666335482,96,1337,28,68,0.708333,0.56,0.291667,1.92,0.0575,25,71
True,Surface Code,50,3042137953,96,1159,24,72,0.75,0.48,0.25,1.92,0.032708,24,72
True,Surface Code,50,1441547547,96,1337,24,72,0.75,0.48,0.25,1.92,0.026042,24,72
True,Surface Code,50,1706186866,96,1337,24,72,0.75,0.48,0.25,1.92,0.026042,24,72
True,Surface Code,50,3678257812,128,1013,24,104,0.8125,0.48,0.1875,2.56,0.024375,24,104
True,Surface Code,50,3324943354,128,1369,24,104,0.8125,0.48,0.1875,2.56,0.02875,23,105
True,Surface Code,50,2790257400,128,1013,24,104,0.8125,0.48,0.1875,2.56,0.025,24,104
True,Surface Code,50,1356257856,128,1013,24,104,0.8125,0.48,0.1875,2.56,0.025156,24,104
true,"Quantum Fourier Transform",4,1110110830,18,40,3,15,0.833333,0.750000,0.166667,4.5000,0.166667,3,15
true,"Quantum Fourier Transform",4,296276228,18,40,3,15,0.833333,0.750000,0.166667,4.5000,0.166667,3,15
true,"Quantum Fourier Transform",4,668590545,18,40,3,15,0.833333,0.750000,0.166667,4.5000,0.166667,3,15
true,"Quantum Fourier Transform",4,3843545218,18,40,3,15,0.833333,0.750000,0.166667,4.5000,0.166667,3,15
true,"Quantum Fourier Transform",6,1185779816,45,90,5,40,0.888889,0.833333,0.111111,7.5000,0.111111,5,40
true,"Quantum Fourier Transform",6,1273224045,45,90,5,40,0.888889,0.833333,0.111111,7.5000,0.111111,5,40
true,"Quantum Fourier Transform",6,278123737,45,90,5,40,0.888889,0.833333,0.111111,7.5000,0.111111,5,40
true,"Quantum Fourier Transform",6,126619891,45,90,5,40,0.888889,0.833333,0.111111,7.5000,0.111111,5,40
true,"Quantum Fourier Transform",8,3672370174,84,160,7,77,0.916667,0.875000,0.083333,10.5000,0.083333,7,77
true,"Quantum Fourier Transform",8,4276069442,84,160,7,77,0.916667,0.875000,0.083333,10.5000,0.083333,7,77
true,"Quantum Fourier Transform",8,3310680246,84,160,7,77,0.916667,0.875000,0.083333,10.5000,0.083333,7,77
true,"Quantum Fourier Transform",8,478041978,84,160,7,77,0.916667,0.875000,0.083333,10.5000,0.083333,7,77
true,"Quantum Fourier Transform",10,3772566261,135,250,9,126,0.933333,0.900000,0.066667,13.5000,0.066667,9,126
true,"Quantum Fourier Transform",10,3467611822,135,250,9,126,0.933333,0.900000,0.066667,13.5000,0.066667,9,126
true,"Quantum Fourier Transform",10,1635507618,135,250,9,126,0.933333,0.900000,0.066667,13.5000,0.066667,9,126
true,"Quantum Fourier Transform",10,1438779997,135,250,9,126,0.933333,0.900000,0.066667,13.5000,0.066667,9,126
true,"Quantum Fourier Transform",12,3606739817,198,360,11,187,0.944444,0.916667,0.055556,16.5000,0.055556,11,187
true,"Quantum Fourier Transform",12,3635888924,198,360,11,187,0.944444,0.916667,0.055556,16.5000,0.055556,11,187
true,"Quantum Fourier Transform",12,2175316655,198,360,11,187,0.944444,0.916667,0.055556,16.5000,0.055556,11,187
true,"Quantum Fourier Transform",12,3029526300,198,360,11,187,0.944444,0.916667,0.055556,16.5000,0.055556,11,187
true,"Quantum Fourier Transform",14,4160851479,273,490,13,260,0.952381,0.928571,0.047619,19.5000,0.047619,13,260
true,"Quantum Fourier Transform",14,4122559895,273,490,13,260,0.952381,0.928571,0.047619,19.5000,0.047619,13,260
true,"Quantum Fourier Transform",14,3337478183,273,490,13,260,0.952381,0.928571,0.047619,19.5000,0.047619,13,260
true,"Quantum Fourier Transform",14,1208817641,273,490,13,260,0.952381,0.928571,0.047619,19.5000,0.047619,13,260
true,"Quantum Fourier Transform",16,1006490912,360,640,15,345,0.958333,0.937500,0.041667,22.5000,0.041667,15,345
true,"Quantum Fourier Transform",16,2898682202,360,640,15,345,0.958333,0.937500,0.041667,22.5000,0.041667,15,345
true,"Quantum Fourier Transform",16,1087167611,360,640,15,345,0.958333,0.937500,0.041667,22.5000,0.041667,15,345
true,"Quantum Fourier Transform",16,4088477302,360,640,15,345,0.958333,0.937500,0.041667,22.5000,0.041667,15,345
true,"Quantum Fourier Transform",20,2634224234,570,1000,19,551,0.966667,0.950000,0.033333,28.5000,0.033333,19,551
true,"Quantum Fourier Transform",20,2535315234,570,1000,19,551,0.966667,0.950000,0.033333,28.5000,0.033333,19,551
true,"Quantum Fourier Transform",20,23006665,570,1000,19,551,0.966667,0.950000,0.033333,28.5000,0.033333,19,551
true,"Quantum Fourier Transform",20,273734545,570,1000,19,551,0.966667,0.950000,0.033333,28.5000,0.033333,19,551
true,"Quantum Fourier Transform",24,11692041,828,1440,23,805,0.972222,0.958333,0.027778,34.5000,0.027778,23,805
true,"Quantum Fourier Transform",24,2393444562,828,1440,23,805,0.972222,0.958333,0.027778,34.5000,0.027778,23,805
true,"Quantum Fourier Transform",24,2072164798,828,1440,23,805,0.972222,0.958333,0.027778,34.5000,0.027778,23,805
true,"Quantum Fourier Transform",24,2816385620,828,1440,23,805,0.972222,0.958333,0.027778,34.5000,0.027778,23,805
true,"Quantum Fourier Transform",32,3329547099,1488,2560,31,1457,0.979167,0.968750,0.020833,46.5000,0.020833,31,1457
true,"Quantum Fourier Transform",32,7868797,1488,2560,31,1457,0.979167,0.968750,0.020833,46.5000,0.020833,31,1457
true,"Quantum Fourier Transform",32,1328370592,1488,2560,31,1457,0.979167,0.968750,0.020833,46.5000,0.020833,31,1457
true,"Quantum Fourier Transform",32,2478944820,1488,2560,31,1457,0.979167,0.968750,0.020833,46.5000,0.020833,31,1457
true,"Quantum Fourier Transform",48,2455981230,3069,5760,47,3022,0.984686,0.979167,0.015314,63.9375,0.013889,47,3022
true,"Quantum Fourier Transform",48,820945817,3069,5760,47,3022,0.984686,0.979167,0.015314,63.9375,0.013889,47,3022
true,"Quantum Fourier Transform",48,3690095814,3069,5760,47,3022,0.984686,0.979167,0.015314,63.9375,0.013889,47,3022
true,"Quantum Fourier Transform",48,2375061869,3069,5760,47,3022,0.984686,0.979167,0.015314,63.9375,0.013889,47,3022
true,"Quantum Fourier Transform",64,2819256682,4656,10240,63,4593,0.986469,0.984375,0.013531,72.7500,0.010417,63,4593
true,"Quantum Fourier Transform",64,2929294971,4656,10240,63,4593,0.986469,0.984375,0.013531,72.7500,0.010417,63,4593
true,"Quantum Fourier Transform",64,4157803674,4656,10240,63,4593,0.986469,0.984375,0.013531,72.7500,0.010417,63,4593
true,"Quantum Fourier Transform",64,3639873016,4656,10240,63,4593,0.986469,0.984375,0.013531,72.7500,0.010417,63,4593
true,"Quantum Fourier Transform",96,2859183911,9504,23040,95,9409,0.990004,0.989583,0.009996,99.0000,0.006944,95,9409
true,"Quantum Fourier Transform",96,719960266,9504,23040,95,9409,0.990004,0.989583,0.009996,99.0000,0.006944,95,9409
true,"Quantum Fourier Transform",96,905695702,9504,23040,95,9409,0.990004,0.989583,0.009996,99.0000,0.006944,95,9409
true,"Quantum Fourier Transform",96,988742006,9504,23040,95,9409,0.990004,0.989583,0.009996,99.0000,0.006944,95,9409
true,"Quantum Fourier Transform",128,3506630553,17424,40960,127,17297,0.992711,0.992188,0.007289,136.1250,0.005208,127,17297
